api,credits_paid,credits_used,credits_left,total_cost,estimate
OpenAI API,90,77.54417030000002,12.455829699999981,97.29,171.37199999999996
Anthropic API,75,72.2471759,2.752824099999998,75.31,84.16799999999999
Mistral AI API,20,17.462032020000002,2.5379679799999977,20,14.783999999999999
DeepSeek API,10,6.81050809,3.18949191,10.6,6.7656
Alibaba Cloud,0,16.5664379,-16.5664379,10.129999999999999,8.604
Cohere API,0,13.256796125,-13.256796125,12.7,11.025
Google Could,NA,5.697221975,NA,NA,4.563000000000001
Together AI,NA,15.30393204,NA,NA,17.229999999999997
ollama,NA,0,NA,NA,0
NA,NA,0,NA,NA,0
