model,N,sig.count,sig.rate
claude-3-7-sonnet-20250219,40,29,0.725
claude-3-5-sonnet-20241022,40,28,0.7
gemini-2.5-pro-preview-03-25,40,26,0.65
grok-3-beta,40,26,0.65
claude-3-opus-20240229,40,23,0.575
gemini-1.5-pro,40,23,0.575
llama3.3:70b,40,23,0.575
deepseek-chat,40,22,0.55
gemini-2.0-flash,40,22,0.55
mistral-small-latest,40,22,0.55
claude-3-7-sonnet-20250219-think=low,40,21,0.525
grok-3-mini-beta-r=high,40,21,0.525
grok-3-mini-fast-beta-r=high,40,21,0.525
mistral-large-latest,40,21,0.525
open-mixtral-8x22b,40,21,0.525
claude-3-5-haiku-20241022,40,20,0.5
grok-3-mini-beta-r=low,40,20,0.5
llama3:70b,40,19,0.475
qwen-max,40,19,0.475
qwq-plus,40,19,0.475
claude-sonnet-4-20250514,40,18,0.45
claude-3-7-sonnet-20250219-think=high,40,17,0.425
grok-3-mini-fast-beta-r=low,40,17,0.425
llama3.1:405B-turbo,40,17,0.425
phi4,40,17,0.425
qwen-plus,40,17,0.425
deepseek-reasoner,40,16,0.4
gemini-1.5-flash,40,16,0.4
grok-beta,40,16,0.4
llama4-scout,40,16,0.4
gemma2:27b,40,15,0.375
ministral-3b-latest,38,14,0.3684210526315789
gpt-4.5-preview,40,14,0.35
gpt-4o,40,14,0.35
grok-3-mini-fast-beta,40,14,0.35
qwen2.5-72b-instruct,40,14,0.35
granite3.3,40,13,0.325
grok-3-mini-beta,40,13,0.325
ministral-8b-latest,39,12,0.3076923076923077
grok-2-1212,40,12,0.3
qwen-turbo,40,12,0.3
command-a-03-2025,40,11,0.275
gpt-4,40,11,0.275
o1,40,11,0.275
o3-mini,40,11,0.275
claude-3-haiku-20240307,40,10,0.25
gpt-4-turbo,40,10,0.25
qwen1.5-72b-chat,40,10,0.25
qwen2-72b-instruct,40,10,0.25
command-r7b-12-2024,40,9,0.225
command,40,8,0.2
command-r-08-2024,40,8,0.2
gpt-4o-mini,40,8,0.2
llama4-maverick,40,8,0.2
open-mistral-nemo,40,8,0.2
gpt-3.5-turbo,40,7,0.175
gemini-1.5-flash-8b,40,6,0.15
gemma,40,6,0.15
