source,source_type,survey,case,DRIPreV3,DRIPostV3,provider,model
claude-3-5-haiku-20241022,llm,ds_bellinzona,Bellinzona,0.28102468240437006,0.45111638694541945,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,energy_futures,CSIRO NSW,0.14224452659432174,0.2068175539962485,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,energy_futures,CSIRO WA,0.3345429266466089,0.13777402857122148,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,fnqcj,FNQCJ,-0.5699666269121133,-0.12750153965986724,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,forestera,Forest Lay Citizen,0.5775022874973859,0.4997746013081278,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,forestera,Forest Stakeholder,0.5427865791416489,0.5040885706721364,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,fremantle,Fremantle,0.30007054471619643,0.0076124167601878045,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,swiss_health,CA,0.2994198052214183,0.27071169944940665,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,uppsala_speaks,Activate,0.35832286881022,0.10961042917883967,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,uppsala_speaks,Standard,0.11803399846011553,0.24283797869448237,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,valsamoggia,Valsamoggia,0.3861095215941883,0.19293114862227545,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,zh_uster,USTER,0.4859684528655477,0.537667672493893,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,zh_winterthur,Winterthur,0.4818587390233582,0.4419376972722144,anthropic,claude-3-5-haiku-20241022
claude-3-5-haiku-20241022,llm,zukunft,Zukunft,0.5488416366500297,0.5328006641398708,anthropic,claude-3-5-haiku-20241022
claude-3-5-sonnet-20241022,llm,acp,Citizen Parliamentarian,0.24614144616653832,0.03835378963634202,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,auscj,HGE Deliberative Group,-0.7279909206813479,-0.5862667721932189,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,bep,BEP,0.5438468152111751,0.3759708108125922,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,biobanking_mayo_ubc,Mayo,0.36238206210519786,0.36570589163417644,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,biobanking_mayo_ubc,UBC Bio,0.317616407410394,0.2606448659824821,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,biobanking_wa,WA Citizens,0.5020951140277188,0.4876995972771737,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,biobanking_wa,WA Stakeholder,0.5141062295286902,0.4291190770681845,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,ccps,CCPS ACT Deliberative,0.5765006747717603,0.6022341009975275,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,ds_aargau,Aargau,0.2980861125604506,0.03809968254005626,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,ds_bellinzona,Bellinzona,0.36398429673865196,0.4563138368155319,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,energy_futures,CSIRO NSW,0.5670670525514707,0.3539963425087674,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,energy_futures,CSIRO WA,0.4254477883825629,0.5036150709136139,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,fnqcj,FNQCJ,0.17279365960613147,0.481556289196008,anthropic,claude-3-5-sonnet-20241022
claude-3-5-sonnet-20241022,llm,forestera,Forest Lay Citizen,0.4172646287177926,0.6491914970581214,anthropic,claude-3-5-sonnet-20241022
